ID	Linja	Ikä	Sukupuoli	Asuinpaikka	Työtilanne	Oppiaste	Oppiaineet	MOOC-kokemus	Aika-arvio	Ohjelmointi opetuksessa	Ohjelmointiympäristöt	Python-kokemus	Python-kirjallisuus	Päättelytehtävä1	Päättelytehtävä2	Päättelytehtävä3	Päättelytehtävä4	Päättelytehtävä5	Päättelytehtävä6	Päättelytehtävä7	Päättelytehtävä8	Päättelytehtävä9	Päättelytehtävä10	Päättelytehtävä11
348	ScratchJr	1	1	0	4	1	0	2	1	0	0													
312	ScratchJr	2	1	3	4	1;2;3		2	1	0	4													
757	ScratchJr	2	1	5	0	1;2	1	2	3	0	0													
429	ScratchJr	3	1	0	0	1	0	2	0	0	0													
905	ScratchJr	1	1	0	1	2	2;3;12;14	2	0	2	21													
213	ScratchJr	1	1	0	4	9		2	0	0	0													
222	ScratchJr	2	1	0	1	1;2	0	2	3	0	0													
643	ScratchJr	2	1	15	1	1	0;1	2	0	0	0													
546	ScratchJr	1	1	12	1	0;1;2	1	2	1	0	0													
780	ScratchJr	2	1	0	0	1	0	2	3	5	0													
376	ScratchJr	3	1	0	0	1;2	0	2	0	0	0													
145	ScratchJr	2	1	15	0	1	0	2	0	0	0													
522	ScratchJr	4	1	0	0	1	0	2	0	0	0													
317	ScratchJr	1	1	0	0	1	0	2	0	0	0													
377	ScratchJr	2	1	11	0	3;5	3;6;11	2	3	1;2;3	2;5;8;9;10;14;15;18;24													
815	ScratchJr	3	1	0	0	1;2	0	2	0	0	0													
720	ScratchJr	1	1	9	2	1;2	0;4	2	0	0	21													
764	ScratchJr	3	1	5	0	1;2	0	2	0	0	0													
920	ScratchJr	0	0	8	2	2	0;1	2	3	0	0													
533	ScratchJr	0	0	8	2	1;2	0	2	0	0	0													
395	ScratchJr	2	1	1	0	1	0	2	0	0	0													
670	ScratchJr	3	1	10	1	1	0	2	1	0	0													
178	ScratchJr	1	1	0	0	1	0	2	0	0	0													
86	ScratchJr	2	1	3	0	0		2	0	0	0													
338	ScratchJr	1	1	15	1	0;1;2;9	0	2	1	0	0													
262	ScratchJr	1	1	17	1	1	0	2	3	0	0													
10	ScratchJr	3	1	2	1	0;1	0;9;13	2	0	0														
628	ScratchJr	3	1	0	0	1;2	0	2	0	1	0													
729	ScratchJr	1	1	0	1	1	0	2	0	0	0													
880	ScratchJr	1	1	0	2	1;2	0	2	3	0														
76	ScratchJr	0	0	8	2	1;2;3	0;16	2	3	0	0													
193	ScratchJr	2	1	1	2	1;2;3	0;5;7	2	0	0														
679	ScratchJr	3	0	0	0	2	0	2	1	2	2;8													
493	ScratchJr	4	1	0	1	1	0	2	3	0	0													
507	ScratchJr	1	1	1	1	1	0;2;3;5;9;12;14;16	2	3	5	0													
364	ScratchJr	2	1	0	0	2	0;2;3;5;6;7;9;12;14;16	2	0	2	21													
496	ScratchJr	2	1	15	0	1	0	2	0	2	0													
397	ScratchJr	1	1	0	0	1	0	2	0	0	2													
319	ScratchJr	2	1	1	3	2;3;5;9	0;4	2	1	0	0													
877	ScratchJr	3	1	17	0	1	0	2	3	5	0													
362	ScratchJr	3	1	0	0	1;2	0	2	3	1;2	21													
712	ScratchJr	1	1	0	0	1	0	2	3	1	0													
619	ScratchJr	2	1	11	1	1	0	2	0	0	0													
186	ScratchJr	1	1	6	0	1	0	2	0	0	0													
79	ScratchJr	3	1	10	1	1	0	2	3	0	0													
23	ScratchJr	3	1	0	4	9	0	2	1	0	0													
700	ScratchJr	3	1	15	0	1	0	2	1	0	2													
769	ScratchJr	3	0	0	0	1;2	0	2	0	0	0													
164	ScratchJr	2	1	3	0	1	0	2	0	0	0													
592	ScratchJr	3	1	0	0	1	0	2	0	0	0													
172	ScratchJr	1	1	15	1	1	0;1	2	3	2	12;21													
924	ScratchJr	3	1	0	1	0	0	2	3	0	0													
559	ScratchJr	3	1	0	0	1;2	0	2	3	1;2														
311	ScratchJr	1	1	8	2	2;3;8	1;12	2	1	0	0													
765	ScratchJr	2	1	3	0	1;2	0	2	1	1	0													
421	ScratchJr	3	1	4	0	8	13	2	3	0	0													
196	ScratchJr	3	0	0	4	9		2	0		4													
419	ScratchJr	3	1	0	0	0;1	1	2	1	0	0													
303	ScratchJr	4	0	11	0	1;2;3	11	1	0	1;2	2;21													
54	ScratchJr	4	1	0	4	9		2	0	0	0													
844	ScratchJr	3	1	4	1	1	0	2	0	0	0													
90	ScratchJr	2	1	4	1	1	0;4	2	0	0	0													
17	ScratchJr	3	1	4	1	1	0;14	2	0	0	0													
473	ScratchJr	2	1	4	0	1	0	2	0	5	0													
124	ScratchJr	0	1	8	2	1;2;3	0;12	2	3	0	0													
891	ScratchJr	2	1	5	4	1	0	2	0	0	4;5;10													
556	ScratchJr	1	1	2	0	1	0	2	0	0	0													
492	ScratchJr	2	1	0	0	1	0	2	0	0	0													
675	ScratchJr	2	1	15	1	1;2	0;2;3	2	0	0	0													
526	ScratchJr	2	1	4	0	1	0	2	0	0	5													
369	ScratchJr	1	1	15	1	1	0	1	0	0	0													
290	ScratchJr	2	1	15	1	0	0	2	1	5	0													
355	ScratchJr	3	0	0	0	1	0	2	0	0	2													
906	ScratchJr	3	1	0	0	1	0	2	3	0	9													
888	ScratchJr	3	1	0	0	1;2	0	2	0	0	0													
480	ScratchJr	1	1	11	2	1;2	0	0	0	0	14													
371	ScratchJr	3	1	0	0	1	0	2	0	0	0													
150	ScratchJr	2	1	15	1	1;2	0	2	1	2	9													
192	ScratchJr	1	1	12	0	0		2	0	0	0													
849	ScratchJr	4	0	11	0	1;2	0	2	1	3	14													
399	ScratchJr	1	1	12	0	0		2	0	0														
810	ScratchJr	0	1	17	3	1;2	0	2	0	0	0													
446	ScratchJr	2	1	15	0	1;3	0;11	1	0	1;2	4;9;21													
710	ScratchJr	2	1	15	0	1	0	2	0	0	0													
696	ScratchJr	4	1	1	0	1;9	1	2	1	1	0													
573	ScratchJr	2	1	0	4	0		2	0	0	0													
411	ScratchJr	3	1	0	0	1	0	2	1	0	12													
597	ScratchJr	2	1	0	0	0;1;2;3	1	2	1	0	0													
514	ScratchJr	2	1	0	1	1	0;2;3;4;5;9;11;12;13;14;16	2	0	1;2	0													
363	ScratchJr	3	1	4	2	0;4;9		0	1	0	0													
375	ScratchJr	2	1	0	4	9		2	3	0	0													
552	ScratchJr	2	1	1	0	1	0	2	0	0	0													
784	ScratchJr	2	1	0	0	1	0	2	0	0	0													
599	ScratchJr	1	1	6	4	9		2	0	5	4;5;6;9;10													
808	ScratchJr	1	1	0	2	0		2	0	0	0													
470	ScratchJr	3	1	1	0	1	1	2	0	0	2													
576	ScratchJr	1	1	0	0	1;2	0	2	3	0	0													
487	ScratchJr	2	1	12	0	0	0	2	0	2	0													
759	ScratchJr	3	1	10	0	1;2	0	2	0	0	2;15;21													
176	ScratchJr	3	1	0	0	1	0	2	0	2	21													
