Time,suosittelu,hyvaa,loppuun_syy_2,loppuun_syy_3,loppuun_syy_4,loppuun_syy_5,loppuun_syy_6,loppuun_syy_7,loppuun_syy_8,loppuun_syy_9,loppuun_syy_10,sisallot_1,kehitettava,sisallot_2,sisallot_3,sisallot_4,sisallot_5,sisallot_6,sisallot_7,sisallot_8,sisallot_9,sisallot_10,sisallot_11,lisaa,sisallot_12,sisallot_13,sisallot_14,sisallot_15,sisallot_16,sisallot_17,sisallot_18,sisallot_19,sisallot_20,sisallot_21,pois,sisallot_22,miten_loysit,nopeus,loppuun,kesken_syy,loppuun_syy_1,laitteet,laitteet_potentiaali
2016-07-04 12:54:40.349925+00:00,7,"Kurssi opetti valtavasti siitä, mitä koodaus lapsen kielellä on ja miten sitä voi KONKREETTISESTI opettaa alaluokille. En hirveästi koodauksesta tiennyt tai ymmärtänytkään joten kurssi oli todella avuksi ja avasi silmiä. Opin käyttämään ScratchJr-ohjelmaa ja sen monipuolisuutta ihastelen edelleen. ",2,2,0,0,0,1,0,0,2,4,"Mielestäni ohjeet kaipaisivat kehittämistä, monien tehtävien aikarajat menivät minulta umpeen kun en huomannut tarpeeksi ajoissa deadlineä. Samoin kävi usealle kollegalleni ja he itseasiassa jättivät koko kurssin kesken kun eivät saaneet palautettua ajoissa tehtäviä. Kun kurssia kuitenkin suoritti työn ohessa menivät päivämäärät ohi. Ne oli mielestäni sekavasti laitettu.
 Tehtävien palautukset eivät myöskään aina toimineet. ",0,4,4,1,4,4,4,4,4,4,Mielestäni olisi ollut hyödyllistä jos jokaisen jakson jälkeen olisi ollut yksi pakollinen palautus ScratchJr-ohjelmasta. Se olisi motivoinut vielä enemmän.,0,2,4,4,4,3,4,4,4,4,Muiden töiden arvioinnin.,4,0,1,3,3,0,,2
2016-06-27 05:49:20.205137+00:00,8,"Opin koodauksen alkeet. Scratch jr oli hauska käyttää. Oli mukava olla tällaisella MOOC-kurssilla. Tämä oli toinen kerta kohdallani ja oli mukava huomata, kuinka vuorovaikutteinen tällainen kurssi voi olla.",2,2,2,2,2,2,2,2,0,4,"Ohjelman eri palaset pitäisi saada paremmin yhteensopiviksi ja käyttäjäystävällisiksi. Nyt oli paljon epätietoisuutta, palautuivatko omat työt ja luulen, että minultakin jotkut jutut katosivat bittiavaruuteen (esim. ensimmäisen jakson palaute).
 
 Tämä palautekysely tulee kovin myöhään. Vaikea enää muistaa asioita tarkasti.",0,3,3,1,3,3,3,2,3,3,"Hyvä tiivis kurssi, enkä näin jälkeenpäin muista, mitä olisin toivonut lisää.",3,3,3,3,3,3,3,3,3,3,Ei tule mieleen mitään poistettavaa.,3,0;4,,5,2,0,,0
2016-06-22 21:33:12.182457+00:00,8,"Pääsi kiinni koodailun alkeisiin. Sai käytännön vinkkejä muilta. Olin ihan vihreä ennen kurssia. Voi hyödyntää omien oppilaiden kanssa, ",2,2,1,2,1,1,1,2,1,3,Vertaisarviointi ei jostakin syystä toiminut. ,1,4,4,1,4,4,3,3,3,4,,3,3,3,3,3,3,3,3,3,3,,3,2,3;4;5,3,2,0,,0
2016-06-22 18:29:35.660129+00:00,9,"Selkeät  tavoitteet ja koodauksen harjoitukset oli jaettu sopiviin jaksoihin. Oli hyvä, että tehtävät aloitettiin pienimuotoisesti, koska painikkeiden selityksissä oli paljon muistettavaa. 
 
  Pystyin  aika pian opettamaan koodausta  oppilailleni. Siitä oli paljon iloa oppilaaille, mutta myös minulle. Oli todella mukava havaita, miten oppilaat nauttivat koodauksesta ja innokkaasti esittelivät tuotoksiaan toisille dokumenttikameran avulla. 
 Pedagooginen pohdintatehtävä oli hyvä.
 Toisten töiden katsominen oli antoisaa ja sieltä sai paljon ideoita koodaukseen. 
 Piazza-keskustelualue oli tarpeellinen. Sieltä saattoi etsiä vastauksia askarruttaviin kysymyksiin. Tein  itsekin  kysymyksiä  ja sain nopeasti vastauksen. ",2,2,2,2,2,2,1,1,0,4,"Ehdottomasti pisteiden näkyminen tuloksissa. Työt oli palautettu ajoissa, mutta sitten pisteitä ei näkynytkään. 
 Vielä selkeämmät ohjeet töiden palautuksista. Minäkin lähetin kahdesta eri sähköpostiosoitteesta palautuksia, koska en saanut palautettua ensimmäisestä sähköpostiosoitteesta. Tämä tuotti varmasti sekaannuksia.",0,4,4,0,4,4,4,2,4,4,"Diplomityöhön enemmän aikaa. Minulla meni paljon enemmän aikaa diplomityöhön kuin toisiin. 
 ",2,4,4,4,4,4,4,4,4,4,En mitään. ,4,2,3,5,2,0,,0
2016-06-22 17:32:39.064833+00:00,6,"Mielenkiintoista, uutta, työhön liitettävää. Kurssi eteni koko ajan niin ettei tullut epätoivoa. ",2,2,1,2,2,1,1,0,0,4,Työskentelyalustat olivat vaikeita ymmärtää. Samoin mikä sähköposti lähetti mitäkin. ,1,4,4,1,4,4,4,4,4,4,Ehkä oli ihan tarpeeksi tekemistä yhdelle kurssille.,2,4,4,3,4,3,4,4,3,3,Sopivasti tekemistä. ,2,3,3;4;5,3,2,0,,0
2016-06-22 07:53:57.336924+00:00,2,"Tuli opeteltua Scratchillä koodaaminen alkeet.
 Itse tehdessä tuli monta ideaa, mihin eri oppiaineisiin ja miten koodausta voisi käyttää.",1,2,2,2,0,0,0,0,2,3,"Koodiaapisen sivusto toimii anteeksiantamattoman huonosti. Joku saa työnsä lähetettyä ja siitä palautteen, toinen ei. Itse tein kaikki koodiaapisen tehtävät yhdessä kollegani Niina Sairasen kanssa. Mietimme yhdessä koodaamista ja miten kyseinen tehtävä tulisi ratkaista. Niina osaa minua enemmän niin koodaamista kuin muutakin tietotekniikkaa. Hän antoi minulle hyviä vinkkejä ja yhdessä käydyt keskustelut auttoivat minua tekemään mm diplomitehtävän, jonka koin tosi hankalaksi.
 Minä, huonompi koodaaja, sain diplomityöni hyväksytysti läpi ja mentorini ei. Todella ihmettelen syvästi asiaa.
 Lähetimme diplomityömme samana päivänä 26.4. ja varmistimme toistemme koneilta, että molemmat olivat saaneet sen lähetettyä. Saimme molemmat tuolloin viestin teiltä, että diplomityö vastaanotettu. Minulla kävi tuuri ja sain hyväksytyn. Kollegani työtä ei ole taidettu edes arvioida. Ainakaan mitään palautetta, korjaustoiveita tai muuta hän ei ole saanut.",1,3,2,2,3,3,3,2,3,3,"Olisin toivonut sellaista oppimisalustaa, joka oikeasti toimii. Ihmiset käyttivät kymmeniä tunteja tehtävien tekemiseen ja sitten tuloksena on, että oma työ on hukassa tai koulutuksen järjestäjä ei anna mitään palautetta.
 Koodaaminen on tärkeä osa nykykoulua. Opettaja tuskin innostuu asiasta, jos hänen kymmenien tuntien työpanos valuu hukkaan. Joillekin diplomin saaminen on tärkeä asia esim tulospalkkiota varten.",2,3,3,3,3,3,2,3,2,2,,1,2,2;3;4;5,3,2,0,,0
2016-06-22 07:50:19.316593+00:00,1,Kivat harjoitustehtävät.,1,1,0,1,0,1,1,0,2,3,"Tekniikka ei yksinkertaisesti toimi! Itse en saanut palautetta diplomityöstäni enkä sitä pystynyt toisilta saamaan. Liian monta työskentelyalustaa ja paikkaa missä pitäisi jatkuvasti pyöriä. Palautin kaikki työni ajallaan ja diplomityöni täytti annetut kriteerit. Diplomityöni tuli onnistuneesti teille perille, sain siitä ilmoituksen. Silti jäin ilman kurssitodistusta ja ilman yhtäkään perustelua miksi näin kävi. Harmittaa hukkaan heitetyt työtunnit. Teimme harjoitukset yhdessä kollegani Kirsi Lakaniemen kanssa. Diplomityömme toimivat samalla tavalla, tietysti eri hahmoilla ja taustoilla. Kirsi sai työstään palautetta ja kurssitodistuksen. Itse en saanut mitään. Tuntuu kun työni olisi jätetty täysin käsittelemättä. Turhaa työtä tuli tehtyä ja jäi todella huono maku koko kurssista. Olisin tarvinnut todistuksen koulumme digiloikkahankkeeseen. ",2,3,3,2,0,2,1,1,2,2,"Olisin toivonut ohjaajalta henkilökohtaista palautetta töistäni. Epätietoisuus vaivasi koko kurssin ajan: onko tehtävät menneet läpi, ovatko työt palautettu oikein. En vieläkään pysty ymmärtämään miksi en saanut kurssitodistusta, mitä tein väärin?",2,2,1,2,2,2,2,4,1,1,"Keskustelualustan noin laajassa merkityksessä. Lopulta viestit tukkivat kaikki sähköpostit eikä niistä enää löytynyt apua. Vertaisarviointi ei toiminut, ehkä sen voisi korvaavaan ohjaajan palautteella.",0,,2;5,3,2,0,,2
2016-06-21 17:41:05.806399+00:00,9,Itselleni on kaikki täysin uutta asiaa. Mielenkiintoista ja käyttökelpoista.,2,2,0,1,0,0,0,0,0,3,"No tämä tekninen puoli, mutta se nyt varmaan on tullut selväksi muutenkin. ",1,4,4,1,3,3,3,4,4,3,"Tämä oli ihan hyvä kokonaisuus, pääsee alkuun. Harmittaa, etten ehtinyt tehdä enempää vertaisarvionteja, koska niistä olisi saanut muiden kurssia tehneiden ihmisten diplomitöitä itselle. Niistä olisi löytynyt todennäköisesti vaikka mitä ideoita omaan työhön (siis arkeen, käyttöön). ",2,2,3,4,4,3,3,4,4,4,"En mitään, tämä oli ihan hyvä näin. ",2,3;5,3;5,1,2,0,,0
2016-06-21 17:19:47.202734+00:00,8,"Ajan puutteen vuoksi kurssi jäi jo aika alussa kesken - joten voin arvioidaan vain alkua. Ilmoittaudun Scrach jr- ja Scrach-kursseille. Tämä koskee kumpaakin yhtälailla.
 
   Opetus oli ymmärrettävää, tehtävien teko mukavaa ja koodausummikolle sopivan haasteellista. Yllättäen opetus oli myös hyvin innostavaa, opetusvideoiden opettaja näytti todella pitävän siitä mitä opetti.",,,,,,,,,,4,"Ehkä asiaan olisi tottunut ajan kanssa, mutta kurssisivuja oli vaikea hahmottaa. En ollut koskaan selvillä,  miten kurssisivuilla, ohjeissa ja keskusteluissa olisi ollut järkevää surffailla ja mitä missäkin on. Oikea sivu löytyi joka kerta kokeilemalla ja yllättäen. ",1,4,3,1,3,3,3,2,4,2,"Lopetin niin aikaisessa vaiheessa, että kysymykseen on hankala vastata.",2,2,2,3,3,3,3,2,3,4,"Lopetin niin aikaisessa vaiheessa, että kysymykseen on hankala vastata.",2,0;4,,1,3,1,5,
2016-06-21 11:36:22.215284+00:00,9,"Riittävän yksinkertainen ja selkeä aloittelijalle, jolla oli suoranainen kammo koodausta kohtaan. Vaatimustasoltaan tehtävät olivat sopivat työpäivän jälkeen tehtäviksi. Ei vaatinut liikaa ponnisteluja, mutta antoi hyvän alkusysäyksen koodauksen maailmaan tutustumiselle. ",2,2,2,2,2,2,2,1,1,4,"Tehtävien pisteytyksessä en pysynyt koko aikaa mukana. En ollut varma, oliko tehtäväni hyväksytty, vaikka olin ne lähettänyt.",0,3,4,1,4,4,4,3,4,3,Toisten tehtäviä katsottavaksi ja testattavaksi.,4,4,4,4,4,4,4,4,4,4,-,4,2,2;3;4;5,5,2,0,,2
