ID	Linjat			Eteneminen			Mielipiteet																													Ongelmanratkaisutaidot					Suunnitelmat		
	ScratchJr	Scratch	Racket	ScratchJr	Scratch	Racket	Ohjelmoinnin opettaminen on hyödyllistä työni kannalta	Ohjelmoinnin opettaminen auttaa minua suoriutumaan työstäni nopeammin	Ohjelmoinnin opettaminen tekee opetuksestani tehokkaampaa	Jos opetan ohjelmointia, onnistun työssäni paremmin	Ohjelmoinnin opettamisen osaaminen monipuolistaa opettajuuttani	Ohjelmoinnin opettamisen osaaminen parantaa työllistymistäni.	Ohjelmoinnin opetukseni tulee olemaan selkeää ja ymmärrettävää	Minusta tulee helposti taitava ohjelmoinnin opettaja	Minusta ohjelmoinnin opettaminen on helppoa	Ohjelmoinnin opettamisen oppiminen on minulle helppoa	Ohjelmoinnin opettamista tarvitaan peruskoulussa	Ohjelmoinnin opetus tekee työstäni mielenkiintoisempaa	Ohjelmoinnin opettaminen on hauskaa	Pidän ohjelmoinnin opettamisesta	Minulle tärkeiden ihmisten mielestä minun tulisi opettaa ohjelmointia	Käyttäytymiseeni vaikuttavien ihmisten mielestä minun tulisi opettaa ohjelmointia	Tämän kurssin opettajat ovat avuksi ohjelmoinnin opettamisen oppimisessa	Työpaikallani suhtaudutaan positiivisesti ohjelmoinnin opetukseen	Työpaikallani on tarvittavat välineet ohjelmoinnin opetukseen	En voi hyödyntää ohjelmointia muussa opetuksessa	Minulla on riittävät tiedot ohjelmoinnin opettamiseen.	Saan tarvittaessa tukea työyhteisöstäni, jos minulla on ongelmia ohjelmoinnin opettamisessa	Minulla voi olla vaikeuksia selittää, miksi ohjelmointia kannattaa tai ei kannata opettaa oppilaille	Pyrin käyttämään uutta teknologiaa opetuksessani aina kun se on mahdollista.	Epäröin opettaa ohjelmointia, koska saatan opettaa sitä väärin	Minua pelottaa ajatella, että voin menettää paljon tietoja jos painan väärää nappia.	Tunnen ahdistusta ohjelmoinnin opettamista kohtaan	Ohjelmoinnin opettaminen on minulle vierasta ja pelottavaa	Olen halukas esittelemään ohjelmointia koulullani	”vaikka paikalla ei olisi ketään ohjeistamassa”	”jos voin soittaa apua ongelmatapauksissa”	”jos minulla on runsaasti aikaa perehtyä ongelmaan”	”jos minulla on käytettävissäni apua tai tukea”	ei mikään ylläolevista lauseista	Tarkoitukseni on opettaa ohjelmointia	Voisin kuvitella opettavani ohjelmointia	Suunnitelmissani on opettaa ohjelmointia
303	1	4	1		8	1	5	3	4	5	5	4	4	5	5	5	5	5	5	5	4	4	5	5	5	2	4	5	4	4	1	1	1	1	5	1		3	4		1	1	1
157	1	1	2	1	2	3	5	5	3	5	5	5	3	2	1	1	5	5	5	5	5	5	5	5	5	1	1	3	3	5	5	1	2	2	5			3	4		24	22	36
153	1	4	2	1	7	3	3	1	2	3	4	3	4	2	3	2	5	2	4	3	3	3	5	4	4	2	2	3	1	5	1	1	1	3	4		2	3	4		0	0	0
185	1	4	1		8	1	4	3	3	4	5	5	4	4	3	3	5	5	4	3	4	4	5	5	4	4	5	5	1	4	1	2	1	1	5	1	2				2	0	2
214	1	1	2	1		2	4	3	4	3	4	2	3	4	4	4	5	4	4	3	3	3	4	5	5	2	4	4	2	5	2	1	1	1	5				4		12	12	0
242	4	1	1	8		1	3	2	4	4	4	4	3	2	2	4	4	4	3	3	2	3	5	3	2	2	2	4	4	4	3	2	3	3	3			3	4		12	6	12
95	3	4	1	6	8	1	5	1	4	5	5	5	4	2	2	2	4	5	5	3	5	5	5	2	4	1	4	1	1	4	1	4	2	2	5	1		3	4		4	1	4
45	1	1	4	1	2	3	4	1	2	2	5	2	4	2	3	2	1	3	3	3	3	3	5	4	4	2	2	5	4	4	2	1	4	2	2	1		3	4		24	24	24
11	1	4	1		7	1	1	1	1	1	1	1	3	3	3	2	5	4	4	3	3	3	3	3	3	5	2	3	4	5	2	1	1	2	4				4		0	12	0
184	1	1	4		1	8	3	2	2	3	4	4	2	3	1	2	4	4	3	3	3	3	3	2	1	1	2	4	1	4	2	1	2	2	1		2	3	4		20	20	20
241	4	1	1	8	1		4	3	4	3	5	5	4	4	4	4	5	4	4	5	3	3	5	5	5	1	4	5	1	5	1	2	1	2	3		2	3	4		2	1	2
245	1	1	4		1	8	5	1	3	5	5	5	3	2	2	3	5	5	4	3	3	3	5	2	2	1	4	2	1	4	1	1	4	1	4			3	4		1	1	1
248	4	2	1	8	3	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3	5	4	5	1	5	2	1	5	1	1	1	1	5	1					0	0	0
88	1	3	4	1	4	8	4	3	3	4	5	3	4	4	4	3	4	4	4	4	5	4	5	5	4	2	5	5	4	5	1	1	1	3	4	1		3	4		0	0	0
