Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
6.10.2015 klo 23.36.27	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET	ScratchJr, Code.org, Basic (Visual, Cool, tms)	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Espoo
7.10.2015 klo 5.42.35	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja		En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Lappeenranta
7.10.2015 klo 6.38.34	#N/A	Etelä-Pohjanmaa	Ammattillinen koulutus	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Tietotekniikka	Scratch, Code.org, Turtle Roy	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	36-45	Muu	
7.10.2015 klo 7.04.38	#N/A	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Scratch, Code.org, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä, En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kuopio
7.10.2015 klo 7.15.43	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, C/C++, Java, Processing, HTML, CSS, PHP	Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Mies	36-45	Vakinainen työsuhde (opettaja)	Helsinki
7.10.2015 klo 7.15.46	#N/A	Pirkanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka	Pascal -80 luvulla	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lempäälä
7.10.2015 klo 7.20.51	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET, Käsityö, Liikunta	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Akaa
7.10.2015 klo 7.26.15	#N/A	Satakunta	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Pori
7.10.2015 klo 7.31.40	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	En tiedä vielä	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Oulu
7.10.2015 klo 7.36.40	#N/A	Pohjois-Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Opiskelija (opettajaksi valmistuva)	
7.10.2015 klo 7.49.11	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Käsityö, Musiikki, Liikunta	Scratch, Hopscotch	Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Nurmijärvi
