Väestö, keskiväkiluku (id:2616)				0,00727272727272727			
Maakunta			2014	Opettajien määrä	Taustakyselyyn vastanneet	Skaalattu osallistujiin	Osuus
Ahvenanmaa	21	yhteensä	28791	209,389090909091	0	0	0
Etelä-Karjala	09	yhteensä	132008	960,058181818182	27	70,5527638190955	0,0734880084928613
Etelä-Pohjanmaa	14	yhteensä	193688	1408,64	30	78,391959798995	0,0556508119881552
Etelä-Savo	10	yhteensä	152039	1105,73818181818	31	81,0050251256281	0,0732587754114002
Kainuu	18	yhteensä	79616,5	579,029090909091	3	7,8391959798995	0,0135385183628542
Kanta-Häme	05	yhteensä	175415	1275,74545454545	39	101,909547738693	0,0798823522165741
Keski-Pohjanmaa	16	yhteensä	68753,5	500,025454545455	9	23,5175879396985	0,0470327814832487
Keski-Suomi	13	yhteensä	275341,5	2002,48363636364	72	188,140703517588	0,093953678372742
Kymenlaakso	08	yhteensä	180351	1311,64363636364	25	65,3266331658292	0,0498051691440663
Lappi	19	yhteensä	182130	1324,58181818182	30	78,391959798995	0,0591824217446978
Pirkanmaa	06	yhteensä	501774	3649,26545454545	92	240,402010050251	0,0658768218000724
Pohjanmaa	15	yhteensä	180771	1314,69818181818	11	28,7437185929648	0,0218633592032608
Pohjois-Karjala	12	yhteensä	165351,5	1202,55636363636	24	62,713567839196	0,0521502107806065
Pohjois-Pohjanmaa	17	yhteensä	404342,5	2940,67272727273	126	329,246231155779	0,111962894783308
Pohjois-Savo	11	yhteensä	248418	1806,67636363636	50	130,653266331658	0,0723169179391309
Päijät-Häme	07	yhteensä	202216,5	1470,66545454545	24	62,713567839196	0,042642986986173
Satakunta	04	yhteensä	224270,5	1631,05818181818	52	135,879396984925	0,0833075107311356
Uusimaa	01	yhteensä	1594431	11595,8618181818	287	749,949748743719	0,0646739121682038
Varsinais-Suomi	02	yhteensä	471803	3431,29454545455	63	164,623115577889	0,0479769700318985
© THL, Tilasto- ja indikaattoripankki Sotkanet.fi 2005-2015				yhteensä	995	2600	
				kaikki osallistujat	2600		
