Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-05-16 16:11:39.217271+00:00,0,2,2,2,2,2,2,2,"Opin käyttämään Scratchin työkaluja monipuolisemmin, sillä ohjelman idea alkaa pikkuhiljaa avautua. :)",""
2016-05-16 13:37:04.713828+00:00,0,2,1,2,1,2,2,3,"",""
2016-04-26 16:55:41.838296+00:00,2,2,2,2,2,3,3,3,"","Raivostutavä kun ei toimi androidilla kunnolla....miksi 1ja 2 tehtävän aikana toimi ja nyt enää ei......"
2016-04-23 08:32:31.126728+00:00,0,2,2,2,2,3,3,3,"","Muiden ajatusten kommentointi ei onnistunut. Kommentointisivuille ei jostain syystä päässyt."
2016-04-12 18:26:52.828274+00:00,2,2,2,2,2,3,3,3,"Opin käyttämään ko ohjelmaa oppilaiden kanssa. Oli innostavaa nähdä oppilaiden into tehtävää tehdessä.  Oppilaat oppivat koodausta innostavalla tavalla.","Hyvä tehtävä!"
2016-04-10 16:25:01.405759+00:00,0,1,2,1,2,3,3,3,"Tuntuu, että toinen scratch on minulle helpompi ja jotenkin loogisempi ymmärtää. Olen edennyt siinä paremmin.",""
2016-04-10 16:08:23.098865+00:00,1,2,2,2,2,2,1,3,"Osasin jo käyttää silmukkaa ja muuttujaa, mutta ehtolauseen käyttö tuli uutena ja vaikuttaa hyödylliseltä.",""
2016-04-07 14:03:05.576231+00:00,0,2,2,2,2,2,2,2,"Opin käyttämään lause, silmukka ja ehtolausetoimintoja. ",""
2016-04-03 20:26:16.826969+00:00,1,2,3,2,2,3,2,2,"Uusia ulottuvuuksia scratchjuniorista.",""
2016-04-03 20:15:24.751970+00:00,0,1,1,1,1,4,4,4,"Olen oppinut lisää komentoja. uskalsin myös kokeilla erilaisia vaihtoehtoja ja mahdollisuuksia. Testaamalla oppii näköjään parhaiten. Mitä tapahtuu mistäkin.","En ollut jotenkin tajunnut, että alimmaisena on kohta, joka pitää täyttää myös. Mielestäni en ollut nähnyt. En tiedä mistä ikkunasta olen klikannut. _Eli valitettavasti kaikki palautteet lukuunottamatta 4:sta on myöhässä.  Taulukko, missä on käsitteet, on mielestäni todella hyvä. Siitä on helppo nähdä mitä mikäkin tarkoittaa.."
2016-04-03 19:14:04.638874+00:00,0,2,2,2,2,3,3,3,"",""
2016-04-03 10:30:51.491236+00:00,0,2,2,2,2,2,2,2,"",""
2016-04-02 08:10:40.051000+00:00,0,2,2,2,2,2,2,2,"Silmukan käyttämistä lauseessa.","Tekniikkaongelmat turhauttavat. En saanut selaimen käytön hankaluuksien takia tehtävää palautettua ajallaan. Ruby-seinälle en osaa/oysty kommentoimaan muiden ajatuksia. Screenshottia en saanutliitettyä.argh!"
2016-03-31 16:58:52.825441+00:00,0,1,2,2,2,2,2,2,"Hyviä ideoita muiden tehtävistä!",""
2016-03-30 17:28:06.405941+00:00,1,2,2,1,2,3,2,3,"Ohjelmoinnin ja mielikuvituksen yhdistämistä: millaisen innostavan tehtävänannon rakennan oppilaille niin, että he opettelevat juuri suunnittelemiani asioita.","Miksi näkyvissä deadlinet? Ainakin näin pääsiäisviikolla koko kurssi jäi unholaan, kun muu kiire vei niin paljon aikaa."
2016-03-29 08:18:57.992758+00:00,0,2,2,2,2,3,3,3,"",""
