Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-05-22 15:32:07.609549+00:00,1,2,2,2,2,2,2,2,"funtioista, ehtolauseista, jakojäännös, kuvankäsittelyä lisää, kilpikonnatemppuja",""
2016-05-18 20:15:52.521960+00:00,2,2,2,2,2,3,3,3,"Kun ei moneen viikkoon katso oppimateriaalia, niin pitää palata edelliseen lukuun kertaamaan, miten tietty homma tehtiinkään. :)","Mielenkiintoista uutta asiaa. Tehtävät, joissa saattoi itse kokeilla koodin muokkausta, olivat opettavaisia."
2016-05-17 16:53:48.028817+00:00,0,2,2,2,2,3,3,3,"Värien muokkaamista.",""
2016-05-17 12:47:19.987527+00:00,0,2,1,2,1,2,3,2,"Muodostamaan if-haaroja ja muokkaamaan kuvien värejä.","Lisää harjoituksia, pliiz <3"
2016-05-17 10:22:49.295197+00:00,0,2,2,2,2,2,2,2,"",""
2016-05-15 14:30:31.433905+00:00,1,3,3,3,3,1,1,1,"",""
2016-05-15 09:34:21.592368+00:00,2,2,2,3,2,2,1,1,"Tässä osiossa käsiteltiin paljon kuvankäsittelyä. Periaate oli monessa kohdassa tuttu, mutta koodin ymmärtäminen oli välillä hankalaa, olisin kaivannut enemmän selitteitä. ","Materiaaliin kaipaisin ideoita mihin näitä tekniikoita voisi opetuksessa käyttää."
2016-05-14 21:11:15.661259+00:00,3,2,2,2,2,2,2,2,"kuvien muokkaus ja eri atribuutteja",""
2016-05-14 18:09:11.895138+00:00,0,2,2,2,2,2,2,2,"",""
2016-05-14 13:40:07.506801+00:00,0,2,2,2,2,2,2,2,"",""
2016-05-12 20:03:45.800324+00:00,2,2,2,2,3,3,3,3,"if, elif ja else lauseiden käyttöä. Miten ohjelman käyttäjältä voi pyytää tietoja. Totesin että väritehtävät ovat edelleen haastavia.",""
2016-05-09 11:40:18.600687+00:00,2,2,1,2,1,3,3,3,"",""
2016-05-07 12:12:36.412605+00:00,2,2,2,3,3,2,2,2,"Jouduin ajanpuutteen vuoksi opiskelemaan tämän jakson melko 'kevyesti'. Kuvankäsittelyä olen jonkun verran harrastanut, mutta silti nuo siihen liittyvät asiat tuntuivat melkoisen vaikeilta. Muuten ok jakso ja opin aika paljon.","Varmaan ihan hyvä, että kurssissa on vaikeampiakin juttuja mukana. Riittää haastetta eritasoisille oppijoille. Ja välilehdeltä löytyvät malliratkaisut hyvä idea, niin sai vähän opittua vaikeampiakin juttuja, mitä ei itse olisi osannut."
