Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-03-23 09:18:01.700222+00:00,2,2,2,2,2,4,4,4,"Opin ymmärtämääm ehtolauseiden käyttöä. Opin jo jotain Boolen 'sinisistä' lausekkeista (en vihreistä). Sain tehtyä digitarinaa ja yksinkertaisen peli. Pelin tekeminen ei olisi onnistunut ilman, että katsoin toisten tekemiä pelejä, hahmojen koodeja.",""
2016-03-23 08:35:11.155346+00:00,1,2,2,2,2,2,2,2,"Ehtojen käyttämistä",""
2016-03-23 06:47:08.610086+00:00,1,2,2,2,2,4,4,4,"Tällä viikolla opin scratchistä todella paljon kerralla. Opin mitä ovat ehtolauseet ja boolen lausekkeet ja opin myös käyttämään niitä scratchissä. Opin myös muiden töitä katselemalla (jaetut soveltavat tehtävät), että näitä skriptejä (toimintoryppäitä) voi olla monta samanaikaisesti vaikka vierekkäin scratchissä ja ne voidaan laittaa toimimaan eri aikaan tai vaikka samaan aikaan, eli esimerkiksi soittimia ei tarvitse laittaa esimerkiksi kissan lauseiden väleihin, vaan ne voivat olla vieressä ja soida samaan aikaan kun kissan toiminnot suoritetaan. Opin myös opetusvideon avulla muuttamaan hahmoa, sen ulkomuotoa (voi piirtää, vaihtaa väriä, ottaa vaikka oman kuvan, ottaa valmiita) ja opin myös lisäämään hahmoja ja tekemään heille omat skriptit. Opin samalla myös kuinka esimerkiksi hahmoa voi asetuksista muuttaa, kuten miten se kääntyy (esim. 90astetta), vaihtaa suuntaa tai kuinka sitä voi hiiren avulla liikuttaa jos haluaa. Samalla opin myös vaihtamaan taustaa ja kuinka hahmoille saa vaihdettua nimet. En ole aikaisemmin oikein katsonut, mitä erilaisista symboleista scratchissä tapahtuu, mutta nyt tiedän ja uskallan paremmin kokeilla. ","Olisi kiva jos pääsisi jotenkin 'tarkistamaan' scratch haasteet, eli kun on tehnyt oman koodaustehtävän ja saanut sen onnistumaan, niin voisi katsoa mitenkä te olette ratkaisseet sen, eli pääsisikö samaan lopputulokseen esimerkiksi pienemmällä määrällä lauseita yms. tai kannattaisiko se tehdä jotenkin toisella tavalla sama toiminto. On ollut paljon hyötyä siitä, kun on päässyt katsomaan toisten jakamien töiden sisälle, sieltä olen oppinut jo valtavasti uusia asioita. "
2016-03-22 20:42:50.689444+00:00,1,2,2,2,2,3,3,4,"",""
2016-03-22 20:20:29.989834+00:00,1,2,2,2,2,4,4,4,"Tein ensimmäisen 'pelin'.",""
2016-03-22 19:47:07.989475+00:00,4,3,4,3,3,2,2,1,"Ehtolauseen","Kokeilemalla oppiminen toimii jonkin aikaa. Kun tehtävien ratkaisemiseen menee liikaa aikaa, olisi jokin vinkki kyllä paikallaan."
2016-03-22 18:45:52.471537+00:00,1,1,2,3,2,3,3,4,"Ehtolauseen käyttöä. ",""
2016-03-22 18:43:21.561879+00:00,1,2,3,2,1,2,2,2,"Silmukassa tuli pyörittyä.","Olisivat noi tehtävät voineet erota enemmän toisistaan."
2016-03-22 18:28:55.662637+00:00,2,2,3,1,3,3,2,3,"Nihkeätä oli, mutta kaipa tästä hengissä selvittiin",""
2016-03-22 16:30:57.639601+00:00,0,2,2,2,2,3,3,3,"Kertasin, miten saan kissan kävelemään. UUtta oli kissan pysäyttäminen.",""
2016-03-22 16:16:50.022677+00:00,2,1,2,1,2,2,2,3,"Hiljalleen aukeaa Scratch -ohjelmoinnin mahdollisuudet kohdata 'todellinen' maailma. Pedagoginen ajattelu siis hiljalleen kehittyy.","Edelleenkin toivoisin, että tehtävät saisi auki hieman aiemmin, jotta ajankäytön suunnittelu kävisi helpommaksi."
2016-03-22 15:40:50.862646+00:00,0,2,1,2,1,2,2,2,"Boolen lauseen käsitteen.",""
2016-03-22 15:10:39.202835+00:00,0,2,2,1,2,2,2,2,"Ehtolauseen ja Boolen lauseiden merkityksen Scratchissa.",""
2016-03-22 13:53:54.517168+00:00,0,2,2,2,2,2,2,2,"Miten monella eri tapaa ehtolauseen voi opettaa oppilaille, niin Scratchissa että ilman tietotekniikkaa. Padletissa oli todella hyödykkäitä vinkkejä, joita pystyy hyvin soveltamaan ja joiden kautta myös lause ja silmukka -käsitteet tulevat tutuiksi. Uusi käsite Boolen lauseke tuli tutuksi, kun pohdein Scratchissä olleita Boolen lausekkeita ja niiden merkityksiä jo aiemmin kurssin alussa.","Boolen lausekkeita olisi voinut avata hieman paremmin ohjeistuksessa, aukenivat vasta kokeilun jälkeen mitä niillä tarkoitetaan. "
2016-03-22 13:15:11.005191+00:00,1,2,2,2,2,3,3,3,"Scratchin peruskäytön jonkinlaista hallitsemista. Ehtolauseen käyttäminen, koordinaatiston käyttö liikkumisesssa, liukumiskäskyn käyttö. Tietysti myös ehtolause -ajattelun ymmärtäminen.",""
2016-03-22 10:27:44.305593+00:00,2,2,2,3,4,2,2,2,"Ehtolauseen","Hasrjoitustehtävien tekeminen oli turhauttavaa, kun kissa ei toiminut oman logiikan ja käskysarjojen mukaan. Hölmöintä oli se, kun meillä oli kollegani kanssa täsmälleen samat käskysarjat näytöillämme, mutta kissamme toimivat eri tavalla. Mistä tämä voi johtua?   Yritin ja yritin tehtäviä, mutta jätin kesken, kun en vain onnistunut. Minulla ei ole loputtomasti aikaa käyttää näihin harjoituksiin.   Mielestäni pitäisi olla mahdollisuus saada oikeat vastaukset tietyn yrittämismäärän/-ajan jälkeen. Näin voisi oppia toimivia toimintatapoja. Seuraavalla kerralla kyollä muistaisi, että näin kissa tekee tätä ja näin tätä."
2016-03-22 09:54:01.323884+00:00,1,2,2,2,2,3,2,2,"",""
2016-03-22 06:35:38.507861+00:00,1,2,2,2,2,3,4,4,"Opin näkemään, mihin kaikkeen tekemiseen (koulussa) ohjelmoinnin näkökulamsta liittyykään ehtoja!","Kiitos hyvistä ohjeista:-)"
