Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-03-16 21:46:37.021094+00:00,1,1,1,1,1,2,1,2,"Racketin sukujuuret Lispissä näkyvät selvästi. En oikein pidä näiden sulkusulkeistyylistä mutta ehkä se on kokemuksen puutetta. Jokatapauksessa tuntuu että valtaisa sulkujen määrä tuottaa turhaa virheherkkyyttä. Esimerkkinä materiaalien (http://www.slideshare.net/TiinaPartanen/racket-alkeet-4-oppitunti-52813278) dia 8 jossa on liian monta ')' sulkua eikä se siksi käänny.  Racketin, ja Lispin, tapa ajatella lausekkeita tyyliin (> x y) tuntuu myös tarpeettoman nurinkuriselta vaikka voisi kai ajatella että vertailuoperaattorin laittaminen heti kärkeen kertoo välittömästi mitä on tapahtumassa. Jälleen kaikkeen kaiketi tottuu ja oppii.","Materiaalit tuntuvat olevan ympäri nettiä milloin kenenkin blogissa tai sivuilla. Saisiko niitä kenties jatkossa jotenkin saatettua yhden sivuston alle tehtävien kanssa? Esimerkiksi Aalto-yliopiston ohjelmointi 1 MOOC suoritti tämän erinomaisesti pitäen kaiken tarpeellisen yhden sivuston alla."
2016-03-16 21:20:46.771585+00:00,3,3,3,2,2,2,2,2,"En nyt kyllä ehdi oppia enempää","Aloitin kurssin vasta vähän aikaa sitten. Normi työ haasteineen, yllättävät velvollisuudet osallistua kunnallispolitiikkaan, perhe ja harrastukset eivät sovi näin tiukkaan aikatauluun. Jätän siis kurssin kesken ja keskityn pelkkään Pythoniin, jossa on kepeämpi aikataulu. Työkaverini totesi samaa ja jätti myös kurssin heti alkuunsa."
2016-03-16 21:00:06.604877+00:00,2,3,3,3,3,2,2,2,"Tekemään ehtolauseita ja käyttämään define-funktiota paremmin. ",""
2016-03-16 20:46:02.522984+00:00,2,3,3,3,3,2,2,1,"Opin käyttämään ehtolausetta. Vähän harmittaa, kun aloitin tämän kurssin niin myöhään. En mielestäni keksinyt kovin hyvää ehtolause-funktiota, mutta ainakin siinä käytetään ehtolausetta.",""
2016-03-16 20:31:29.925882+00:00,3,3,2,2,3,2,2,2,"ehtolauseen käyttöä",""
2016-03-16 20:05:02.418711+00:00,0,3,2,2,2,3,2,2,"Katsoin videot ja opin hyvin. Valitettavasti ei ollut aikaa tehdä tehtäviä ja ongelmia tuli kun en pulmissa päässyt katsomaan ratkaisuja kun valittti ettei se tue Exploreria. Ei kai se voi olla näin vai onko Explorerissa paljon fiboja?","Pitäs tukea kaikkia selaimia"
2016-03-16 19:56:00.753851+00:00,2,4,4,4,2,4,4,4,"","Miksi kakkonen pitää palauttaa ennen ykköstä. En sitä huomannut kuin nyt vasta ja aika kävi vähiin!!"
2016-03-16 19:54:47.147912+00:00,0,0,2,1,4,2,1,2,"","Tähän työhön minulla meni TODELLA kauan, sillä opiskeltavaa ja ymmärrettävää oli TODELLA paljon. Annettu aikaikkuna ei pitänyt ainakaan minun kohdalla paikkaani vaan käytin tämän jakson opiskeluun noin 6 tuntia. Annetut videot olivat aivan liian yksinkertaisia jotta niiden avulla voisi tehdä harjoitustehtäviä. Eli olisi ollut hyvä jos videolla olisi käyty jokin laajempi ehtolauseisiin liittyvä tapaus. Tämä syö motivaatiota jatkoa ajatellen."
2016-03-16 19:37:39.265016+00:00,2,2,2,2,2,3,3,3,"",""
2016-03-16 18:56:26.129382+00:00,1,1,2,2,2,4,3,3,"",""
2016-03-16 18:55:18.818518+00:00,3,2,2,2,2,3,3,3,"Opin tällä viikolla Racket kieltä tarkemmin, miten komennot toimii ja miten funktioita ja ehtoja siinä käytetään. Ongelmia oli keksiä oma funktio, mutta java ohjelmoinnista tutun funktion kääntäminen racketille oli hyödyllistä,",""
2016-03-16 18:31:46.799355+00:00,3,2,2,2,2,3,3,3,"Alussa oli vähän hankalaa. Käsitteet ja rakenteet olivat sinänsä tuuttuja ennestään muita yhteyksistä. En vaan saanut 'juttuja' toimimaan. Videoista oli apua sekä Eliademyn puolella olevasta aineistosta.",""
2016-03-16 17:52:11.023994+00:00,0,4,4,4,4,2,1,2,"Ehtolauseen käytön, matemaattisia operaattoreita ja totuusarvoja.","Harjoitusmateriaali oli ihan liian vaikeaa suhteessa palautettavaan työhön. Herätti epätoivoa läpikäyntivaiheessa."
2016-03-16 17:43:01.786470+00:00,3,2,2,2,2,2,2,2,"",""
